pdf_url,question,page
http://downloads.openoil.net/contracts_eng-only%2Fin%2F1_5pages_in_Block-RJ-ONN-2004-2_dd20070302_PSC_IndiaOil-Geoglobal.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fin%2F1_5pages_in_Block%20AA-ONN-2003-2_dd00000000_PSC_NTPC_%20Canoro.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fke%2F1_5pages_ke_Block-1_dd20071119_PSC_Lion.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fke%2F1_5pages_ke_Block-11A_dd20131007_Farmout-Agreement_ERHC_%20CEPSA.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fke%2F1_5pages_ke_Block-2B_dd20080917_PSC_Lion.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fke%2F1_5pages_ke_Block-L-16_dd20120510_PSC_Camac.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fke%2F1_5pages_ke_Block-L-27_dd20120510_PSC_Camac.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fke%2F1_5pages_ke_Block-L-28_dd20120510_PSC_Camac.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fke%2F1_5pages_ke_Block-L1B_dd20120510_PSC_Camac.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fkrg%2F1_5pages_krg_Chia-Surkh-Block_dd20090600_PSC_Genel_Forbes-Manhattan_Petoil.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fkrg%2F1_5pages_krg_Chia-Surkh-Block_dd20120116_Sale-Purchase-Agreement_Genel_Forbes-Manhattan.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fkrg%2F1_5pages_krg_Garmian-Block_dd20101231_PSC_WesternZagros.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fkrg%2F1_5pages_krg_Garmian-Block_dd20120731_TPI-Assignment-1st-Amendment-Agreement_Gazprom_WesternZagros.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fkrg%2F1_5pages_krg_Kalar-Bawanoor-Block_dd20080224_PSC_WesternZagros.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fkrg%2F1_5pages_krg_Kalar-Bawanoor-Block_dd20110725_Amendment-Agreement_WesternZagros_Talisman.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fkrg%2F1_5pages_krg_Kurdamir_dd20120800_2nd-Amendment-Agreement_WesternZagros_Talisman.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fkrg%2F1_5pages_krg_Qara-Dagh%20_dd00000000_PSC_Niko-Resources_Vast_Groundstar.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fkz%2F1_5pages_kz_Blocks-XXII-23-D_E_dd20000307_Exploration-Contract_Kaspiy-Neft.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fkz%2F1_5pages_kz_Blocks-XXII-23%20A_D_E_dd20061229_Production-Contract_Caspi-Neft-TME-JSC.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fkz%2F1_5pages_kz_Blocks-XXX_XXXI_XXXII_XXXIII_dd20070727_Exploration-Contract_Marsel.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fkz%2F1_5pages_kz_Dauletaly-field_Atyrau-Oblast_dd20030217_Exp-Prod-Contract_%D0%9A%D0%BEZhaN.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fkz%2F1_5pages_kz_Kzyloy%20Field%20_dd20050505_Gas%20Production_BN-Munai.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fkz%2F1_5pages_kz_Morskoe-Field_dd20040806_Drilling%20Agreement_Precaspiburneft.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fkz%2F1_5pages_kz_North-Block_dd20021229_Exploration-Contract_Aral-CJSC.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fkz%2F1_5pages_kz_Zhakarmy-West-I-Blocks_dd20070827_Exploration-Contract_Falcon.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Flr%2F1_5pages_lr_Block-13_dd20080308_PSC_ExxonMobil_Canadian-Overseas.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fma%2F1_5pages_ma_Cap-Boujdour-Offshore_dd20110707_Exploration-Exploitation_Kosmos-Energy.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fma%2F1_5pages_ma_Essaouira-Offshore_dd20110909_Exploration-Exploitation_Kosmos_Canamens.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fma%2F1_5pages_ma_Essaouira-Offshore_dd20121219_Assignment-Deed_Kosmos_Canamens.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fma%2F1_5pages_ma_Foum-Assaka-Offshore_dd20110504_Exploration-Exploitation_Kosmos_Pathfinder.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fma%2F1_5pages_ma_Foum-Assaka-Offshore_dd20120611_Assignment-Deed_Kosmos_Pathfinder.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fma%2F1_5pages_ma_Tarhazoute_dd20131010_Exploration-Exploitation_Kosmos-Energy.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fmn%2F1_5pages_mn_Tsagaan-Els-XIII_dd00000000_PSC_DWM.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fmn%2F1_5pages_mn_Zuunbayan-XIV_dd00000000_PSC_DWM.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fmr%2F1_5pages_mr_Block-C12_dd20120405_Exp-Prod-Contract_Kosmos-Energy.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fmr%2F1_5pages_mr_Block-C13_dd20120405_Exp-Prod-Contract_Kosmos-Energy.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fmr%2F1_5pages_mr_Block-C8_dd20120405_Exp-Prod-Contract_Kosmos-Energy.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fmy%2F1_5pages_my_%20Block-A-18%20_dd19990421_Supplementary-Contract-No-1_MTJA_Petronas_Triton.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fmy%2F1_5pages_my_%20Block-A-18%20_dd19990421_Supplementary-Contract-No-2_MTJA_Petronas_Triton.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fmz%2F1_5pages_mz_Area-3-Rovuma_Area-6-Rovuma_dd20081010_Exp-Prod-Contract_PC%20Mozambique.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fmz%2F1_5pages_mz_Area-A-Onshore_dd20100921_Exp-Prod-Contract_SASOL.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fna%2F1_5pages_na_Blocks-1714B-1814B-1715_dd20110803_Operating-Agree_Namibia-Energy_Namibia-Exploration.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fng%2F1_5pages_ng_OML-4_OML-38_OML-41_dd20100000_Dev-Prod_Septa.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fpt%2F1_5pages_pt_Aljubarrota-3_dd20070803_Exp-Dev-Prod-Contract_Mohave.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fpt%2F1_5pages_pt_Cabo-Mondego-2_dd20070803_Exp-Dev-Prod-Contract_Mohave.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fpt%2F1_5pages_pt_Peniche_dd20120521_Exp-Dev-Prod-Contract_Mohave.pdf,Find the contractors in this document.,1
